source_sha256,source_url,corpus,format,engine,ocr,page_basis,pages,empty_pages,empty_page_ratio,nonspace_characters,nonspace_per_page,replacement_characters,manifest_status,extraction_grade,detail
bfb0a676ecdb4efeb395c5403491c570439c31e41f5008a58ac211c67b6b4b27,https://www.centralbank.ie/docs/default-source/regulation/how-we-regulate/authorisation/orion-applications/authorisation/gns-4-1-1-1-1-3-how-to-start-sub-fund-app-for-exist-fund-video.pdf?sfvrsn=b6ccd11d_2,pdf,PDF,pymupdf4llm,True,source-page,1,1,1.0,0,0.0,0,low_text,empty,no extractable text
5fd08a86808fb0d680e3c831c498baedc6b368f3966e0f452f6c611e4bc5ed97,https://www.centralbank.ie/docs/default-source/regulation/how-we-regulate/authorisation/orion-applications/authorisation/gns-4-1-1-1-1-4-how-to-submit-clause-based-documents-video.pdf?sfvrsn=adccd11d_2,pdf,PDF,pymupdf4llm,True,source-page,1,1,1.0,0,0.0,0,low_text,empty,no extractable text
280ca325a7e9942d40f54a46994d8102972735e71b2800fa8cb0d9e4aa81d42f,https://www.centralbank.ie/docs/default-source/regulation/how-we-regulate/authorisation/orion-applications/authorisation/gns-4-1-1-1-1-5-attach-non-clause-based-doc-to-application-video.pdf?sfvrsn=9accd11d_2,pdf,PDF,pymupdf4llm,True,source-page,1,1,1.0,0,0.0,0,low_text,empty,no extractable text
51cd1e7e01eb07729bcfdeadfd6cea2b9babc7b509e6674fc8563355d9c21814,https://www.centralbank.ie/docs/default-source/regulation/how-we-regulate/authorisation/orion-applications/authorisation/gns-4-1-1-1-1-6-how-to-add-executed-doc-to-an-application-video.pdf?sfvrsn=91ccd11d_2,pdf,PDF,pymupdf4llm,True,source-page,1,1,1.0,0,0.0,0,low_text,empty,no extractable text
92237375b84b5c740749e395dc06bf5d082dcf8261dd6849461a188f70827c4a,https://www.centralbank.ie/docs/default-source/regulation/how-we-regulate/authorisation/orion-applications/authorisation/gns-4-1-1-1-1-7-how-to-check-the-status-of-an-application-video.pdf?sfvrsn=8bccd11d_2,pdf,PDF,pymupdf4llm,True,source-page,1,1,1.0,0,0.0,0,low_text,empty,no extractable text
3e6a8b87273e8fba4e10ae395b1ed35d0ac5c3581363a860ddb75b3d78042271,https://www.centralbank.ie/docs/default-source/regulation/how-we-regulate/authorisation/orion-applications/qiaif-guidance/gns-4-1-1-1-1-1-how-to-login-video.pdf?sfvrsn=e9ccd11d_4,pdf,PDF,pymupdf4llm,True,source-page,1,1,1.0,0,0.0,0,low_text,empty,no extractable text
1460e154a717b61456f08badd9ee8ad828a8a000751ca6e923c47117efe8ab15,https://www.centralbank.ie/docs/default-source/regulation/how-we-regulate/authorisation/orion-applications/qiaif-guidance/gns-4-1-1-1-1-2-how-to-start-app-for-auth-video.pdf?sfvrsn=a0ccd11d_2,pdf,PDF,pymupdf4llm,True,source-page,1,1,1.0,0,0.0,0,low_text,empty,no extractable text
1ec6af610061f631792097fe684f1461cefeade5e5c24aa99f8aa0e9fac47665,https://www.centralbank.ie/docs/default-source/tns/events/atif-mian.pdf?sfvrsn=ec901d_2,pdf,PDF,pymupdf4llm,False,source-page,8,0,0.0,615,76.9,0,success,thin,77 non-space characters per page
34d9126f77312a0e8d1e1d7814f7d315bf485d83cbf4a0bd38adf2dd1dea6095,https://www.centralbank.ie/docs/default-source/tns/events/thirteenth-central-bank-of-ireland-whitaker-lecture-by-patrick-honohan.pdf?sfvrsn=c04f701a_1,pdf,PDF,pymupdf4llm,False,source-page,27,4,0.1481,2828,104.7,0,success,thin,105 non-space characters per page
c18abb4bf3b9353d343d9221c7b13ccc678fe964acb0f31311abc937260f05bc,https://www.centralbank.ie/docs/default-source/regulation/consumer-protection/compliance-monitoring/themed-inspections/credit-institutions-and-mortgage-lending/gns-4-2-1-2-info-rel-surv-sales-1007.docx?sfvrsn=36f4d61d_4,office,DOCX,python-docx 1.2.0,,single-pseudo-page,1,0,0.0,113,113.0,0,success,thin,113 non-space characters per page
ca8f1f2be5afb24b433f0ab21fbd5d5242ac596b7ca51422bf062bfe2d1acea5,https://www.centralbank.ie/docs/default-source/regulation/consumer-protection/compliance-monitoring/themed-inspections/credit-institutions-and-mortgage-lending/gns4-2-1-2-info-rel-themd-insp-coc-mortg-arrs.docx?sfvrsn=1af6d61d_4,office,DOCX,python-docx 1.2.0,,single-pseudo-page,1,0,0.0,114,114.0,0,success,thin,114 non-space characters per page
52227ea673cf95e7cb764b982d151c10734124234f5344abb774ab3db1894efe,https://www.centralbank.ie/docs/default-source/news-and-media/speeches/chartpack-inflation-growth-and-monetary-policy-in-a-fractured-world.pdf?sfvrsn=95d731a_3,pdf,PDF,pymupdf4llm,False,source-page,11,0,0.0,1298,118.0,0,success,thin,118 non-space characters per page
e998c553d1e10e8e1e1ff38f108eefb77c5ad2927d7b3e9b06781399e9d8d933,https://www.centralbank.ie/docs/default-source/publications/consultation-papers/cp160/an-post-response-to-cp160.pdf?sfvrsn=e8fc6f1a_2,pdf,PDF,pymupdf4llm,False,source-page,1,0,0.0,120,120.0,0,success,thin,120 non-space characters per page
f4aa98e0dbf86c6bc653038e06ae317319eefafbb7cf336a8c615f30eefb9770,https://www.centralbank.ie/docs/default-source/regulation/consumer-protection/compliance-monitoring/themed-inspections/retail-intermediaries/gns4-2-1-2-spvsy-rev-progme-ret-intery-firms0515.docx?sfvrsn=85ffd61d_4,office,DOCX,python-docx 1.2.0,,single-pseudo-page,1,0,0.0,134,134.0,0,success,thin,134 non-space characters per page
1820ea8bab795e4e5cffb2c0f3700a8cc04ec50049686596b3c3c8216aa3a4de,https://www.centralbank.ie/docs/default-source/regulation/industry-market-sectors/credit-unions/communications/presentations/financial-conditions-of-credit-unions.pdf?sfvrsn=2,pdf,PDF,pymupdf4llm,False,source-page,12,1,0.0833,1643,136.9,0,success,thin,137 non-space characters per page
c0c77f8929515b8c4854413d0f6f7aa6a6fb546962306ff5fd79cf1faf00614a,https://www.centralbank.ie/docs/default-source/financial-system/financial-stability/events/2015/balance-sheet-recovery/sme-market-overview---presentation.pdf?sfvrsn=285ea41d_2,pdf,PDF,pymupdf4llm,False,source-page,31,0,0.0,4446,143.4,0,success,thin,143 non-space characters per page
6ee969fedf47b451fd428c37b64744eeb1fd568437f08bcd4d0d4dab7436f04c,https://www.centralbank.ie/docs/default-source/careers/great-place-to-work---trust-index-survey635acd134644629bacc1ff0000269695.pdf?sfvrsn=da1eaf1d_3,pdf,PDF,pymupdf4llm,False,source-page,36,2,0.0556,5384,149.6,0,success,thin,150 non-space characters per page
c1ad3576a712aabf5ec7e249aefb111aa9b34960c9aaa0328a2d0d282c3b9b74,https://www.centralbank.ie/docs/default-source/tns/about---tns/freedom-of-information/media-requests/foi-2025-001621-record-for-website.pdf?sfvrsn=ab62691a_1,pdf,PDF,pymupdf4llm,False,source-page,4,0,0.0,604,151.0,0,success,thin,151 non-space characters per page
768473560746e728e8d9a471d30362397503fd5f4522ab487df49331325ba991,https://www.centralbank.ie/docs/default-source/tns/events/presentation---resolving-a-non-performing-loan-crisis.pdf?sfvrsn=f955ab1d_2,pdf,PDF,pymupdf4llm,False,source-page,8,0,0.0,1313,164.1,0,success,thin,164 non-space characters per page
6e3b01b0c0f377fb6c5eeba36401152bf56368f6e905c58aac1de5073ea0124d,https://www.centralbank.ie/docs/default-source/tns/events/christian-hawkesby.pdf?sfvrsn=1ec901d_2,pdf,PDF,pymupdf4llm,False,source-page,9,0,0.0,1563,173.7,0,success,thin,174 non-space characters per page
c268d93875dc2719f068dc8b71529ece15fda9c283184328d2f21900e9dabc80,https://www.centralbank.ie/docs/default-source/tns/about---tns/freedom-of-information/media-requests/employee-engagement-survey-2023-key-results.pdf?sfvrsn=9ede621a_6,pdf,PDF,pymupdf4llm,False,source-page,42,9,0.2143,7470,177.9,0,success,thin,178 non-space characters per page
b15a17b4501b823999a54260629d361b2e9b3905a7f8a9a48eba99fa33ae9664,https://www.centralbank.ie/docs/default-source/regulation/industry-market-sectors/credit-unions/communications/presentations/2016-information-seminars---opening-remarks.pdf?sfvrsn=41ebdc1d_2,pdf,PDF,pymupdf4llm,False,source-page,4,0,0.0,724,181.0,0,success,thin,181 non-space characters per page
6a0e59300390e05baf40cba721f6a126d2f9b12fed29b0b99b552539c07ec6ef,https://www.centralbank.ie/docs/default-source/regulation/how-we-regulate/authorisation/orion-applications/qiaif-guidance/gns-4-1-1-1-1-1-how-to-login5d88b3134644629bacc1ff0000269695.pdf?sfvrsn=f2ccd11d_6,pdf,PDF,pymupdf4llm,False,source-page,1,0,0.0,191,191.0,0,success,thin,191 non-space characters per page
51b5cad37538961f35ac6de24c7732b0ad6d639a4914d1f962a19b81deaf76f0,https://www.centralbank.ie/docs/default-source/news-and-media/speeches/200611-mni-roundtable-slides-governor-makhlouf.pptx,office,PPTX,python-pptx,,slide,11,0,0.0,2110,191.8,0,success,thin,192 non-space characters per page
